Experiment	Flowpot	Plant	R401	Freshweight
II	7	2	DD	2.3
II	7	2	HK	1.9
II	7	2	WT	2.8
II	7	3	54	4.4
II	7	3	56	6.2
II	7	3	54DD	0
II	7	3	56DD	1.9
II	7	3	DD	1.7
II	7	3	HK	0
II	7	3	WT	4.6
II	7	4	54	2.3
II	7	4	56	0
II	7	4	54DD	0
II	7	4	56DD	5.3
II	7	4	DD	4.4
II	7	4	HK	0
II	7	4	WT	4.5
II	7	5	54	6.3
II	7	5	56	0
II	7	5	54DD	0
II	7	5	56DD	0
II	7	5	DD	4.1
II	7	5	HK	0
II	7	5	WT	0
II	7	6	54	0
II	7	6	56	0
II	7	6	54DD	0
II	7	6	56DD	0
II	7	6	DD	1.4
II	7	6	HK	0
II	7	6	WT	0
II	8	1	54	10.7
II	8	1	56	3.1
II	8	1	54DD	4.1
II	8	1	56DD	2.3
II	8	1	DD	2.5
II	8	1	HK	0.6
II	8	1	WT	5.7
II	8	2	54	17.1
II	8	2	56	3.1
II	8	2	54DD	1.7
II	8	2	56DD	2.7
II	8	2	DD	3.3
II	8	2	HK	0.2
II	8	2	WT	12.9
II	8	3	54	15.4
II	8	3	56	2
II	8	3	54DD	4.7
II	8	3	56DD	7
II	8	3	DD	2.2
II	8	3	HK	0
II	8	3	WT	6.1
II	8	4	54	5.2
II	8	4	56	0
II	8	4	54DD	0
II	8	4	56DD	0
II	8	4	DD	7.1
II	8	4	HK	0
II	8	4	WT	4.3
II	8	5	54	1.7
II	8	5	56	0
II	8	5	54DD	0
II	8	5	56DD	0
II	8	5	DD	0.9
II	8	5	HK	0
II	8	5	WT	2.6
II	8	6	54	0
II	8	6	56	0
II	8	6	54DD	0
II	8	6	56DD	0
II	8	6	DD	0
II	8	6	HK	0
II	8	6	WT	0
III	1	1	54	11.9
III	1	1	56	5
III	1	1	54DD	9.7
III	1	1	56DD	2.2
III	1	1	DD	4.7
III	1	1	HK	4.3
III	1	1	WT	10.2
III	1	2	54	10.6
III	1	2	56	4.7
III	1	2	54DD	12.2
III	1	2	56DD	8.5
III	1	2	DD	6.6
III	1	2	HK	6.8
III	1	2	WT	7.4
III	1	3	54	13.4
III	1	3	56	6.7
III	1	3	54DD	8.8
III	1	3	56DD	8.9
III	1	3	DD	3.8
III	1	3	HK	5.7
III	1	3	WT	6.3
III	1	4	54	5.9
III	1	4	56	3
III	1	4	54DD	0
III	1	4	56DD	7.6
III	1	4	DD	7
III	1	4	HK	0
III	1	4	WT	4.1
III	1	5	54	2.8
III	1	5	56	0
III	1	5	54DD	0
III	1	5	56DD	5
III	1	5	DD	2.2
III	1	5	HK	0
III	1	5	WT	0
III	1	6	54	0
III	1	6	56	0
III	1	6	54DD	0
III	1	6	56DD	0
III	1	6	DD	0
III	1	6	HK	0
III	1	6	WT	0
III	2	1	54	7.7
III	2	1	56	8.9
III	2	1	54DD	10.6
III	2	1	56DD	5.2
III	2	1	DD	1.4
III	2	1	HK	2.8
III	2	1	WT	5.7
III	2	2	54	4.4
III	2	2	56	18.4
III	2	2	54DD	4.4
III	2	2	56DD	4.2
III	2	2	DD	5.7
III	2	2	HK	4.9
III	2	2	WT	7.7
III	2	3	54	4.4
III	2	3	56	3.3
III	2	3	54DD	6.9
III	2	3	56DD	6.2
III	2	3	DD	2.5
III	2	3	HK	7.8
III	2	3	WT	5.7
III	2	4	54	3
III	2	4	56	2.7
III	2	4	54DD	5.2
III	2	4	56DD	10
III	2	4	DD	2.5
III	2	4	HK	8.8
III	2	4	WT	1
III	2	5	54	6.8
III	2	5	56	0
III	2	5	54DD	1.9
III	2	5	56DD	0
III	2	5	DD	2.2
III	2	5	HK	0
III	2	5	WT	0
III	2	6	54	0
III	2	6	56	0
III	2	6	54DD	0
III	2	6	56DD	0
III	2	6	DD	0
III	2	6	HK	0
III	2	6	WT	0
