Isolate	Isolate_old	Fraction	Phylum	Class	Order	Family	Genus	nBGCs	mean_ant	n_ant	mean_sus	n_sus	R401
Root667	667	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	ND	8	0.000661616	1	0.00080303	1	0.159
Root670	670	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	ND	2	0.00189899	2	0.012328283	8	0.348
Root682	682	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	ND	3	0.09370202	34	0.003080808	1	0
Root685	685	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	ND	3	0.005893939	5	0	0	0
Root690	690	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	ND	11	0.022722222	34	0	0	0
Root695	695	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	7	0	0	0.002131313	1	0
Root700	700	root-derived	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	ND	3	0.001954545	1	0.002161616	1	0
Root708	708	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	5	0	0	0.001141414	1	0
Root710	710	root-derived	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	5	0.000994949	2	0	0	0
Root720	720	root-derived	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	9	0	0	0	0	0
Root901	901	root-derived	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	5	0.012818182	8	0	0	0
Root916	916	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	ND	13	0.004661616	5	0.000813131	2	0
Root918	918	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae	ND	3	0.001580808	4	0	0	0
Root920	920	root-derived	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	9	0.026742424	16	0	0	0
Root930	930	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	ND	4	0.033838384	17	0.00209596	1	1.215
Root935	935	root-derived	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	5	0.00130303	3	0	0	0
Root954	954	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	6	0	0	0	0	0
Root983	983	root-derived	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	ND	13	0.00040404	1	0.002	4	0.129
Root1203	1203	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	5	0	0	0	0	0
Root1212	1212	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	7	0	0	0.00040404	1	0
Root1217	1217	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	ND	5	0	0	0	0	0
Root1220	1220	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	3	0	0	0.00439899	1	0
Root1221	1221	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	ND	19	0	0	0.002368687	2	0
Root1238	1238	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	ND	8	0.006338384	4	0	0	0
Root1240	1240	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	6	0.010363636	5	0.006454545	5	0
Root1252	1252	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	8	0	0	0	0	0
Root1257	1257	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	2	0	0	0	0	0
Root1277	1277	root-derived	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	ND	7	0	0	0	0	0
Root1280	1280	root-derived	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	4	0.00480303	3	0.001065657	2	0
Root1293	1293	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	ND	3	0	0	0.00039899	1	0
Root1294	1294	root-derived	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	9	0.03039899	13	0	0	0
Root1295	1295	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	40	0.005722222	5	0.006343434	2	0
Root1298	1298	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	6	0.001055556	1	0.000191919	1	0
Root1304	1304	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	25	0.004308081	3	0	0	0
Root1310	1310	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	39	0.003570707	4	0	0	0
Root1312	1312	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	6	0.001606061	2	0.000540404	1	0
Root1319	1319	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	22	0.024358586	14	0.004974747	6	0.16
Root1334	1334	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	4	0.013535354	10	0.032237374	20	0.482
Root1455	1455	root-derived	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	7	0.00069697	2	0.026742424	19	0.409
Root112D2	112D2	root-derived	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	ND	3	0.020757576	11	0	0	0
Root123D2	123D2	root-derived	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	3	0.0165	10	0	0	0
Root16D2	16D2	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	ND	8	0.000777778	1	0	0	0
Root198D2	198D2	root-derived	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	ND	7	0.001828283	1	0.000550505	2	0
