Experiment	Lawn_bacterium	Plate	Colony	Measurement	Colony_diameter	Halo_diameter
III	R179	5	Bottom_center	3	1.264	3.016
III	R179	5	Bottom_center	4	1.259	2.887
III	R179	5	Bottom_center	5	1.232	2.906
III	R402	1	Bottom_center	1	1.047	1.58
III	R402	1	Bottom_center	2	0.969	1.712
III	R402	1	Bottom_center	3	1.03	1.699
III	R402	1	Bottom_center	4	1.041	1.647
III	R402	1	Bottom_center	5	1.049	1.628
III	R402	2	Bottom_center	1	1.143	1.848
III	R402	2	Bottom_center	2	1.1	1.865
III	R402	2	Bottom_center	3	1.18	1.981
III	R402	2	Bottom_center	4	1.141	1.894
III	R402	2	Bottom_center	5	1.137	1.915
III	R402	3	Bottom_center	1	1.078	1.939
III	R402	3	Bottom_center	2	1.02	1.974
III	R402	3	Bottom_center	3	1.08	1.97
III	R402	3	Bottom_center	4	1.07	1.925
III	R402	3	Bottom_center	5	1.074	1.915
III	R402	4	Bottom_center	1	1.094	2.046
III	R402	4	Bottom_center	2	1.029	1.972
III	R402	4	Bottom_center	3	1.037	2.039
III	R402	4	Bottom_center	4	1.097	1.987
III	R402	4	Bottom_center	5	1.072	1.996
III	R402	5	Bottom_center	1	1.145	1.98
III	R402	5	Bottom_center	2	1.105	1.961
III	R402	5	Bottom_center	3	1.134	2.013
III	R402	5	Bottom_center	4	1.158	1.979
III	R402	5	Bottom_center	5	1.141	1.943
III	R50	1	Bottom_center	1	1.17	1.337
III	R50	1	Bottom_center	2	1.092	1.319
III	R50	1	Bottom_center	3	1.155	1.342
III	R50	1	Bottom_center	4	1.146	1.311
III	R50	1	Bottom_center	5	1.163	1.321
III	R50	2	Bottom_center	1	1.147	1.479
III	R50	2	Bottom_center	2	1.096	1.426
III	R50	2	Bottom_center	3	1.147	1.409
III	R50	2	Bottom_center	4	1.156	1.415
III	R50	2	Bottom_center	5	1.129	1.444
III	R50	3	Bottom_center	1	1.172	1.373
III	R50	3	Bottom_center	2	1.098	1.355
III	R50	3	Bottom_center	3	1.178	1.35
III	R50	3	Bottom_center	4	1.19	1.337
III	R50	3	Bottom_center	5	1.17	1.375
III	R50	4	Bottom_center	1	1.171	1.429
III	R50	4	Bottom_center	2	1.126	1.461
III	R50	4	Bottom_center	3	1.177	1.431
III	R50	4	Bottom_center	4	1.163	1.458
III	R50	4	Bottom_center	5	1.17	1.429
III	R50	5	Bottom_center	1	1.164	1.497
III	R50	5	Bottom_center	2	1.132	1.48
III	R50	5	Bottom_center	3	1.16	1.459
III	R50	5	Bottom_center	4	1.165	1.465
III	R50	5	Bottom_center	5	1.158	1.479
III	S728	1	Bottom_center	1	1.702	5
III	S728	1	Bottom_center	2	1.632	5
III	S728	1	Bottom_center	3	1.724	5
III	S728	1	Bottom_center	4	1.728	5
III	S728	1	Bottom_center	5	1.738	5
III	S728	2	Bottom_center	1	1.748	5
III	S728	2	Bottom_center	2	1.649	5
III	S728	2	Bottom_center	3	1.759	5
III	S728	2	Bottom_center	4	1.729	5
III	S728	2	Bottom_center	5	1.713	5
III	S728	3	Bottom_center	1	1.717	5
III	S728	3	Bottom_center	2	1.592	5
III	S728	3	Bottom_center	3	1.69	5
III	S728	3	Bottom_center	4	1.681	5
III	S728	3	Bottom_center	5	1.701	5
III	S728	4	Bottom_center	1	1.766	5
III	S728	4	Bottom_center	2	1.629	5
III	S728	4	Bottom_center	3	1.744	5
III	S728	4	Bottom_center	4	1.719	5
III	S728	4	Bottom_center	5	1.748	5
III	S728	5	Bottom_center	1	1.631	5
III	S728	5	Bottom_center	2	1.684	5
III	S728	5	Bottom_center	3	1.715	5
III	S728	5	Bottom_center	4	1.698	5
III	S728	5	Bottom_center	5	1.64	5
IV	R105	1	Bottom_center	1	1.029	2.106
IV	R105	1	Bottom_center	2	0.959	2.106
IV	R105	1	Bottom_center	3	1.036	2.019
IV	R105	1	Bottom_center	4	1.031	2.128
IV	R105	1	Bottom_center	5	1.018	2.159
IV	R105	2	Bottom_center	1	1.031	2.641
IV	R105	2	Bottom_center	2	0.987	2.389
IV	R105	2	Bottom_center	3	1.03	2.358
IV	R105	2	Bottom_center	4	1.012	2.372
IV	R105	2	Bottom_center	5	1.029	2.32
IV	R105	3	Bottom_center	1	0.991	2.596
IV	R105	3	Bottom_center	2	0.96	2.502
IV	R105	3	Bottom_center	3	1.007	2.556
IV	R105	3	Bottom_center	4	1.009	2.535
IV	R105	3	Bottom_center	5	0.994	2.501
IV	R105	4	Bottom_center	1	1.036	2.448
IV	R105	4	Bottom_center	2	0.976	2.332
IV	R105	4	Bottom_center	3	1.048	2.311
IV	R105	4	Bottom_center	4	1.036	2.345
IV	R105	4	Bottom_center	5	1.035	2.327
IV	R105	5	Bottom_center	1	1.025	2.374
IV	R105	5	Bottom_center	2	1.031	2.346
IV	R105	5	Bottom_center	3	1.081	2.319
IV	R105	5	Bottom_center	4	1.09	2.348
IV	R105	5	Bottom_center	5	1.031	2.339
IV	R1334	1	Bottom_center	1	1.531	5
IV	R1334	1	Bottom_center	2	1.504	5
IV	R1334	1	Bottom_center	3	1.514	5
IV	R1334	1	Bottom_center	4	1.561	5
IV	R1334	1	Bottom_center	5	1.525	5
IV	R1334	2	Bottom_center	1	1.64	5
IV	R1334	2	Bottom_center	2	1.571	5
IV	R1334	2	Bottom_center	3	1.619	5
IV	R1334	2	Bottom_center	4	1.632	5
IV	R1334	2	Bottom_center	5	1.622	5
IV	R1334	3	Bottom_center	1	1.578	5
IV	R1334	3	Bottom_center	2	1.595	5
IV	R1334	3	Bottom_center	3	1.602	5
IV	R1334	3	Bottom_center	4	1.598	5
IV	R1334	3	Bottom_center	5	1.542	5
IV	R1334	4	Bottom_center	1	1.682	5
IV	R1334	4	Bottom_center	2	1.631	5
IV	R1334	4	Bottom_center	3	1.62	5
IV	R1334	4	Bottom_center	4	1.69	5
IV	R1334	4	Bottom_center	5	1.64	5
IV	R1334	5	Bottom_center	1	1.67	5
IV	R1334	5	Bottom_center	2	1.604	5
IV	R1334	5	Bottom_center	3	1.632	5
IV	R1334	5	Bottom_center	4	1.62	5
IV	R1334	5	Bottom_center	5	1.622	5
IV	R483D1	1	Bottom_center	1	1.44	3.054
IV	R483D1	1	Bottom_center	2	1.422	2.947
IV	R483D1	1	Bottom_center	3	1.438	2.947
IV	R483D1	1	Bottom_center	4	1.463	2.979
IV	R483D1	1	Bottom_center	5	1.44	2.964
IV	R483D1	2	Bottom_center	1	1.384	3.001
IV	R483D1	2	Bottom_center	2	1.336	2.911
IV	R483D1	2	Bottom_center	3	1.414	2.947
IV	R483D1	2	Bottom_center	4	1.366	2.952
IV	R483D1	2	Bottom_center	5	1.378	2.947
IV	R483D1	3	Bottom_center	1	1.431	3.073
IV	R483D1	3	Bottom_center	2	1.438	2.982
IV	R483D1	3	Bottom_center	3	1.452	3.043
IV	R483D1	3	Bottom_center	4	1.446	2.965
IV	R483D1	3	Bottom_center	5	1.427	2.965
IV	R483D1	4	Bottom_center	1	1.384	2.893
IV	R483D1	4	Bottom_center	2	1.384	2.768
IV	R483D1	4	Bottom_center	3	1.384	2.882
