Lawn_bacterium	Mutant_setup	Iron	Plate	Colony_pos	Colony	Measurement	Halo_size_mm							
Rs	I	___	6	2	Top_center	4	5.001							
Rs	I	___	6	2	Top_center	5	5.111							
Rs	I	___	6	3	Top_right	1	4.837							
Rs	I	___	6	3	Top_right	2	4.842							
Rs	I	___	6	3	Top_right	3	4.577							
Rs	I	___	6	3	Top_right	4	4.747							
Rs	I	___	6	3	Top_right	5	4.676							
Rs	I	___	6	4	Mid_left	1	3.898							
Rs	I	___	6	4	Mid_left	2	3.902							
Rs	I	___	6	4	Mid_left	3	3.733							
Rs	I	___	6	4	Mid_left	4	3.898							
Rs	I	___	6	4	Mid_left	5	3.843							
Rs	I	___	6	5	Mid_center	1								
Rs	I	___	6	5	Mid_center	2								
Rs	I	___	6	5	Mid_center	3								
Rs	I	___	6	5	Mid_center	4								
Rs	I	___	6	5	Mid_center	5								
Rs	I	___	6	6	Mid_right	1	3.220							
Rs	I	___	6	6	Mid_right	2	3.563							
Rs	I	___	6	6	Mid_right	3	3.225							
Rs	I	___	6	6	Mid_right	4	3.559							
Rs	I	___	6	6	Mid_right	5	3.343							
Rs	I	___	6	7	Bottom_left	1								
Rs	I	___	6	7	Bottom_left	2								
Rs	I	___	6	7	Bottom_left	3								
Rs	I	___	6	7	Bottom_left	4								
Rs	I	___	6	7	Bottom_left	5								
Rs	I	___	6	8	Bottom_center	1	3.220							
Rs	I	___	6	8	Bottom_center	2	3.563							
Rs	I	___	6	8	Bottom_center	3	3.225							
Rs	I	___	6	8	Bottom_center	4	3.559							
Rs	I	___	6	8	Bottom_center	5	3.343							
Rs	I	___	6	9	Bottom_right	1	3.220							
Rs	I	___	6	9	Bottom_right	2	3.563							
Rs	I	___	6	9	Bottom_right	3	3.225							
Rs	I	___	6	9	Bottom_right	4	3.559							
Rs	I	___	6	9	Bottom_right	5	3.343							
Rs	I	___	7	1	Top_left	1	4.604							
Rs	I	___	7	1	Top_left	2	4.680							
Rs	I	___	7	1	Top_left	3	4.673							
Rs	I	___	7	1	Top_left	4	4.747							
Rs	I	___	7	1	Top_left	5	4.618							
Rs	I	___	7	2	Top_center	1	5.680							
Rs	I	___	7	2	Top_center	2	5.514							
Rs	I	___	7	2	Top_center	3	5.426							
Rs	I	___	7	2	Top_center	4	5.509							
Rs	I	___	7	2	Top_center	5	5.130							
Rs	I	___	7	3	Top_right	1	5.088							
Rs	I	___	7	3	Top_right	2	5.130							
Rs	I	___	7	3	Top_right	3	5.181							
Rs	I	___	7	3	Top_right	4	4.872							
Rs	I	___	7	3	Top_right	5	5.102							
Rs	I	___	7	4	Mid_left	1	4.495							
Rs	I	___	7	4	Mid_left	2	4.385							
Rs	I	___	7	4	Mid_left	3	4.068							
Rs	I	___	7	4	Mid_left	4	4.156							
Rs	I	___	7	4	Mid_left	5	4.237							
Rs	I	___	7	5	Mid_center	1								
Rs	I	___	7	5	Mid_center	2								
Rs	I	___	7	5	Mid_center	3								
Rs	I	___	7	5	Mid_center	4								
Rs	I	___	7	5	Mid_center	5								
Rs	I	___	7	6	Mid_right	1	4.210							
Rs	I	___	7	6	Mid_right	2	3.907							
Rs	I	___	7	6	Mid_right	3	3.575							
Rs	I	___	7	6	Mid_right	4	3.660							
