Well	Time	Temp	Mean	Stdev
F3	1200.2	21.4	0.776000023	0.084799998
F4	1200.2	21.4	0.865400016	0.184200004
F5	1200.2	21.4	0.928200006	0.113700002
F6	1200.2	21.4	0.900600016	0.136800006
F7	1200.2	21.4	0.905300021	0.079400003
F8	1200.2	21.4	0.809800029	0.102499999
F9	1200.2	21.4	0.931999981	0.113700002
G1	1200.2	21.4	0.765799999	0.094400004
G10	1200.2	21.4	0.852100015	0.053100001
G11	1200.2	21.4	0.911300004	0.208399996
G12	1200.2	21.4	0.911800027	0.158299997
G2	1200.2	21.4	0.765500009	0.136199996
G3	1200.2	21.4	0.779399991	0.144800007
G5	1200.2	21.4	0.846400023	0.109899998
G6	1200.2	21.4	0.900900006	0.129999995
G7	1200.2	21.4	0.882099986	0.191499993
G8	1200.2	21.4	0.853500009	0.170399994
G8	1200.2	21.4	0.99089998	0.098499998
G9	1200.2	21.4	0.974300027	0.1219
A1	1500.2	21.6	0.353500009	0.140699998
A10	1500.2	21.6	0.351700008	0.140599996
A11	1500.2	21.6	0.451900005	0.115800001
A12	1500.2	21.6	0.4384	0.129600003
A2	1500.2	21.6	0.358799994	0.139899999
A3	1500.2	21.6	0.367500007	0.0403
A4	1500.2	21.6	0.4463	0.1303
A5	1500.2	21.6	0.303000003	0.075499997
A6	1500.2	21.6	0.290499985	0.059599999
A7	1500.2	21.6	0.447600007	0.132699996
A8	1500.2	21.6	0.414299995	0.096100003
A9	1500.2	21.6	0.347900003	0.133900002
B1	1500.2	21.6	0.313600004	0.110299997
B10	1500.2	21.6	0.318800002	0.108900003
B11	1500.2	21.6	0.425500005	0.089699998
B12	1500.2	21.6	0.407099992	0.0902
B2	1500.2	21.6	0.337900013	0.110200003
B3	1500.2	21.6	0.42719999	0.101300001
B4	1500.2	21.6	0.427399993	0.109899998
B5	1500.2	21.6	0.331999987	0.110399999
B6	1500.2	21.6	0.326900005	0.1065
B7	1500.2	21.6	0.399899989	0.104199998
B8	1500.2	21.6	0.418099999	0.105800003
B9	1500.2	21.6	0.328599989	0.108800001
C1	1500.2	21.6	0.757300019	0.100500003
C10	1500.2	21.6	0.767499983	0.110399999
C11	1500.2	21.6	0.822399974	0.100400001
C12	1500.2	21.6	0.816500008	0.110399999
C2	1500.2	21.6	0.765900016	0.105499998
C3	1500.2	21.6	0.805599988	0.0977
C4	1500.2	21.6	0.81400001	0.1039
C5	1500.2	21.6	0.770500004	0.110799998
C6	1500.2	21.6	0.770299971	0.112800002
C7	1500.2	21.6	0.82099998	0.1131
C8	1500.2	21.6	0.823700011	0.107299998
C9	1500.2	21.6	0.771700025	0.1061
D1	1500.2	21.6	0.734700024	0.084100001
D10	1500.2	21.6	0.751600027	0.105400003
D11	1500.2	21.6	0.806200027	0.100900002
D12	1500.2	21.6	0.791000009	0.084299996
D2	1500.2	21.6	0.764900029	0.112300001
D3	1500.2	21.6	0.801500022	0.104099996
D4	1500.2	21.6	0.805599988	0.105999999
D5	1500.2	21.6	0.760599971	0.107900001
D6	1500.2	21.6	0.748000026	0.091399997
D7	1500.2	21.6	0.792200029	0.088299997
D8	1500.2	21.6	0.806400001	0.1043
D9	1500.2	21.6	0.755200028	0.105300002
E1	1500.2	21.6	0.76789999	0.135499999
E10	1500.2	21.6	0.777100027	0.087700002
E11	1500.2	21.6	0.871699989	0.147
E12	1500.2	21.6	0.797299981	0.051399998
E2	1500.2	21.6	0.733299971	0.131200001
E3	1500.2	21.6	0.847500026	0.1241
E4	1500.2	21.6	0.8046	0.1338
E5	1500.2	21.6	0.812699974	0.139899999
E6	1500.2	21.6	0.847599983	0.095899999
E7	1500.2	21.6	0.882600009	0.143399999
E8	1500.2	21.6	0.846099973	0.176400006
E9	1500.2	21.6	0.798900008	0.078599997
F1	1500.2	21.6	0.816699982	0.090099998
F10	1500.2	21.6	0.925400019	0.105300002
F11	1500.2	21.6	0.825399995	0.092399999
F12	1500.2	21.6	0.843599975	0.095600002
F2	1500.2	21.6	0.755800009	0.073200002
F3	1500.2	21.6	0.771200001	0.066399999
F4	1500.2	21.6	0.812300026	0.115099996
F5	1500.2	21.6	0.923900008	0.110299997
F6	1500.2	21.6	0.908900023	0.1391
F7	1500.2	21.6	0.896499991	0.084600002
F8	1500.2	21.6	0.819400012	0.088399999
F9	1500.2	21.6	0.905799985	0.0836
G1	1500.2	21.6	0.767199993	0.088399999
G10	1500.2	21.6	0.849799991	0.053800002
G11	1500.2	21.6	0.90200001	0.122299999
G12	1500.2	21.6	0.908100009	0.157900006
G2	1500.2	21.6	0.764199972	0.120999999
G3	1500.2	21.6	0.811699986	0.196700007
G5	1500.2	21.6	0.924000025	0.1928
G6	1500.2	21.6	0.894900024	0.139599994
G7	1500.2	21.6	0.867399991	0.153899997
G8	1500.2	21.6	0.944500029	0.252400011
G9	1500.2	21.6	0.850799978	0.167999998
G9	1500.2	21.6	0.873700023	0.149200007
A1	1800.3	21.9	0.347799987	0.135800004
A10	1800.3	21.9	0.350300014	0.1382
A11	1800.3	21.9	0.451200008	0.120200001
A12	1800.3	21.9	0.435799986	0.131200001
A2	1800.3	21.9	0.355199993	0.138600007
A3	1800.3	21.9	0.367700011	0.043699998
A4	1800.3	21.9	0.438600004	0.129999995
A5	1800.3	21.9	0.322100013	0.100400001
A6	1800.3	21.9	0.291200012	0.063600004
A7	1800.3	21.9	0.445199996	0.133699998
A8	1800.3	21.9	0.411799997	0.094499998
A9	1800.3	21.9	0.345299989	0.133300006
B1	1800.3	21.9	0.312700003	0.108800001
B10	1800.3	21.9	0.319200009	0.108900003
B11	1800.3	21.9	0.420300007	0.089000002
B12	1800.3	21.9	0.402799994	0.087399997
B2	1800.3	21.9	0.335799992	0.109099999
B3	1800.3	21.9	0.423200011	0.107699998
B4	1800.3	21.9	0.424800009	0.110299997
B5	1800.3	21.9	0.330000013	0.109399997
B6	1800.3	21.9	0.326099992	0.106799997
B7	1800.3	21.9	0.397300005	0.102700002
B8	1800.3	21.9	0.415600002	0.105099998
B9	1800.3	21.9	0.324600011	0.109200001
C1	1800.3	21.9	0.752399981	0.098800004
C10	1800.3	21.9	0.764400005	0.111900002
C11	1800.3	21.9	0.82130003	0.101099998
C12	1800.3	21.9	0.81190002	0.1083
C2	1800.3	21.9	0.759500027	0.102399997
C3	1800.3	21.9	0.806299984	0.097999997
C4	1800.3	21.9	0.811200023	0.1043
C5	1800.3	21.9	0.764500022	0.1127
C6	1800.3	21.9	0.769299984	0.114500001
C7	1800.3	21.9	0.818599999	0.112499997
C8	1800.3	21.9	0.822600007	0.110200003
C9	1800.3	21.9	0.766300023	0.107299998
D1	1800.3	21.9	0.740800023	0.096299998
D10	1800.3	21.9	0.74940002	0.102899998
D11	1800.3	21.9	0.80339998	0.1017
D12	1800.3	21.9	0.788399994	0.086199999
D2	1800.3	21.9	0.760100007	0.1131
D3	1800.3	21.9	0.799799979	0.103100002
D4	1800.3	21.9	0.801599979	0.107199997
D5	1800.3	21.9	0.758599997	0.108400002
D6	1800.3	21.9	0.743499994	0.095700003
D7	1800.3	21.9	0.791100025	0.0867
D8	1800.3	21.9	0.803900003	0.105899997
D9	1800.3	21.9	0.75150001	0.107199997
E1	1800.3	21.9	0.78490001	0.137400001
E10	1800.3	21.9	0.770299971	0.080600001
E11	1800.3	21.9	0.871200025	0.151500002
E12	1800.3	21.9	0.797100008	0.048500001
E2	1800.3	21.9	0.726599991	0.119800001
